Unit:(mV)
                     CH1         CH2
Frequency              ?   2.567 kHz
Period                 ?  389.560 us
00452             400.00     1680.00
00453             400.00     1680.00
00454             400.00     1680.00
00455             400.00     1680.00
00456             400.00     1760.00
00457             400.00     1680.00
00458             400.00     1760.00
00459             400.00     1760.00
00460             400.00     1760.00
00461             400.00     1760.00
00462             400.00     1760.00
00463               0.00      800.00
00464             400.00     1680.00
00465             400.00     1680.00
00466             400.00     1680.00
00467             400.00     1760.00
00468             400.00     1760.00
00469             400.00     1680.00
00470               0.00     1680.00
00471               0.00     1680.00
00472             400.00     1680.00
00473             400.00     1680.00
00474             400.00     1680.00
00475               0.00     1760.00
00476               0.00     1680.00
00477             400.00     1680.00
00478             400.00     1760.00
00479             400.00     1680.00
00480             400.00     1680.00
00481               0.00     1680.00
00482             400.00     1680.00
00483               0.00     1680.00
00484               0.00     1680.00
00485             400.00     1680.00
00486             400.00     1680.00
00487             400.00     1680.00
00488             400.00     1680.00
00489             400.00     1680.00
00490               0.00     1680.00
00491             400.00     1600.00
00492             400.00     1760.00
00493               0.00     1680.00
00494             800.00     1760.00
00495             400.00     1760.00
00496             400.00     1760.00
00497             400.00     1680.00
00498             400.00     1680.00
00499               0.00     1680.00
00500               0.00     1680.00
00501             800.00     1680.00
00502             400.00     1680.00
00503             400.00     1600.00
00504               0.00     1760.00
00505             400.00     1680.00
00506               0.00     1680.00
00507             400.00     1680.00
00508             400.00     1680.00
00509             400.00     1680.00
00510               0.00     1680.00
00511             400.00     1680.00
00512               0.00     1680.00
00513             400.00     1680.00
00514             400.00     1680.00
00515             400.00     1600.00
00516             400.00     1680.00
00517             400.00     1600.00
00518             400.00     1600.00
00519             400.00     1680.00
00520             400.00     1760.00
00521             400.00     1680.00
00522             400.00     1760.00
00523             400.00     1760.00
00524               0.00     1680.00
00525               0.00     1760.00
00526             400.00     1680.00
00527               0.00     1680.00
00528               0.00     1760.00
00529               0.00     1760.00
00530               0.00     1680.00
00531             400.00     1680.00
00532             400.00     1600.00
00533             400.00     1680.00
00534               0.00     1680.00
00535             400.00     1680.00
00536             400.00     1680.00
00537             400.00     1680.00
00538               0.00     1680.00
00539             400.00     1680.00
00540             400.00     1680.00
00541             400.00     1680.00
00542             400.00     1760.00
00543             400.00     1680.00
00544             400.00     1760.00
00545             400.00     1680.00
00546             400.00     1680.00
00547             400.00     1680.00
00548             400.00     1680.00
00549               0.00     1680.00
00550             400.00     1680.00
00551             400.00     1680.00
00552             400.00     1680.00
00553             400.00     1600.00
00554             400.00     1680.00
00555             400.00     1680.00
00556             400.00     2640.00
00557               0.00     1680.00
00558             400.00     1760.00
00559               0.00     1680.00
00560             400.00     1680.00
00561             400.00     1760.00
00562             400.00     1760.00
00563             400.00     1680.00
00564             400.00     1680.00
00565               0.00     1760.00
00566               0.00     2320.00
00567               0.00     1760.00
00568             400.00     1680.00
00569             400.00     1680.00
00570             400.00     1680.00
00571             400.00     1680.00
00572               0.00     1680.00
00573             400.00     1680.00
00574             400.00     1680.00
00575             400.00     1680.00
00576             400.00     1680.00
00577             400.00     1680.00
00578             400.00     1680.00
00579               0.00     1680.00
00580             400.00     1680.00
00581             400.00     1680.00
00582             400.00     1680.00
00583             400.00     1680.00
00584             400.00     1680.00
00585             400.00     1680.00
00586             400.00     1680.00
00587             400.00     1680.00
00588             400.00     1680.00
00589             400.00     1680.00
00590             400.00     1680.00
00591             800.00     1680.00
00592             400.00     1680.00
00593             400.00     1680.00
00594             400.00     1680.00
00595               0.00     1680.00
00596               0.00     1680.00
00597             400.00     1680.00
00598             800.00     1760.00
00599             400.00     1600.00
00600             400.00     1760.00
00601             400.00     1680.00
00602               0.00     1760.00
00603               0.00     1760.00
00604             400.00     1600.00
00605             400.00     1680.00
00606             400.00     1680.00
00607             400.00     1680.00
00608             400.00     1680.00
00609             400.00     1680.00
00610             400.00     1680.00
00611             400.00     1760.00
00612             400.00     1680.00
00613             400.00     1680.00
00614             400.00     1680.00
00615               0.00     1680.00
00616             400.00     1680.00
00617             400.00     1680.00
00618             400.00     1680.00
00619             400.00     1680.00
00620               0.00     1760.00
00621             400.00     1760.00
00622               0.00     1680.00
00623             400.00     1600.00
00624               0.00     1680.00
00625               0.00     1760.00
00626             400.00     1760.00
00627               0.00     1760.00
00628               0.00     1760.00
00629               0.00     1680.00
00630               0.00     1760.00
00631               0.00     1760.00
00632             400.00     1680.00
00633             400.00     1680.00
00634             400.00     1680.00
00635             400.00     1680.00
00636             400.00     1680.00
00637               0.00     1760.00
00638             400.00     1680.00
00639               0.00     1680.00
00640             800.00     1680.00
00641             400.00     1680.00
00642             400.00     1760.00
00643             400.00     1680.00
00644             400.00     1680.00
00645             400.00     1680.00
00646               0.00     1680.00
00647               0.00     1680.00
00648             400.00     1680.00
00649             400.00     1680.00
00650             400.00     1680.00
00651             400.00     1680.00
00652             400.00     1680.00
00653             400.00     1680.00
00654             400.00     1680.00
00655             400.00     1680.00
00656             400.00     1680.00
00657               0.00     1680.00
00658             400.00     1680.00
00659               0.00     1200.00
00660             400.00     1760.00
00661             400.00     1760.00
00662             400.00     1760.00
00663             400.00     1760.00
00664               0.00     1680.00
00665               0.00     1680.00
00666             400.00     1680.00
00667             400.00     1680.00
00668             400.00     1680.00
00669             400.00     1600.00
00670             400.00     1680.00
00671               0.00     1680.00
00672             400.00     1680.00
00673               0.00     1680.00
00674             400.00     1600.00
00675             400.00     1680.00
00676             400.00     1600.00
00677             400.00     1680.00
00678             400.00     1600.00
00679               0.00     1680.00
00680             800.00     1680.00
00681             400.00     1680.00
00682               0.00     1680.00
00683               0.00     1680.00
00684             400.00     1680.00
00685             400.00     1680.00
00686             400.00     1760.00
00687             800.00     1680.00
00688             400.00     1680.00
00689             400.00     1680.00
00690             400.00     1680.00
00691             400.00     1680.00
00692             400.00     1760.00
00693             400.00     1760.00
00694               0.00     1680.00
00695             400.00     1760.00
00696             400.00     1680.00
00697             400.00     1760.00
00698             400.00     1680.00
00699             400.00     1760.00
00700               0.00     1680.00
00701             400.00     1680.00
00702             400.00     1680.00
00703               0.00      800.00
00704             400.00     1680.00
00705             400.00     1680.00
00706             400.00     1680.00
00707               0.00     1680.00
