Automatisierter Messplatz

Name Testperson: Testperson
Datum: 12.02.2026 09:20:31
Prüfling: M18TLUT
Bemerkungen: 100;200;300;400;500;Keine
Pfad und Dateiname: C:\Messwerte Temperaturgang\Logfile Tempgang - M18TLUT.txt
Haltezeit / Zusätzliche Erstverweilzeit in min: 20 / 0

	Read Temp[°C]	Set Temp[°C]	Messreihe[-]	Sensor#[-]	Sn[mm]		Voffset,mean	Vdem,mean	VNTC,mean	VLC comp,mean	FW version

	-10,000000	-10,000000	1,000000	2,000000	8,000000	2180,000000	3357,000000	3253,000000	1177,000000	1.0.00
	-10,000000	-10,000000	1,000000	3,000000	24,000000	2187,000000	3412,000000	3254,000000	1225,000000	1.0.00
	-10,000000	-10,000000	1,000000	3,000000	8,800000	2187,000000	3381,000000	3254,000000	1194,000000	1.0.00
	-10,000000	-10,000000	1,000000	3,000000	8,000000	2187,000000	3368,000000	3254,000000	1181,000000	1.0.00
	-9,900000	-10,000000	1,000000	4,000000	24,000000	2197,000000	3416,000000	3261,000000	1218,000000	1.0.00
	-10,000000	-10,000000	1,000000	4,000000	8,800000	2197,000000	3385,000000	3261,000000	1188,000000	1.0.00
	-10,000000	-10,000000	1,000000	4,000000	8,000000	2197,000000	3370,000000	3260,000000	1173,000000	1.0.00
	-10,000000	-10,000000	1,000000	5,000000	24,000000	2189,000000	3424,000000	3258,000000	1235,000000	1.0.00
	-10,000000	-10,000000	1,000000	5,000000	8,800000	2189,000000	3413,000000	3258,000000	1224,000000	1.0.00
	-9,900000	-10,000000	1,000000	5,000000	8,000000	2189,000000	3409,000000	3258,000000	1220,000000	1.0.00
	-5,000000	-5,000000	1,000000	1,000000	24,000000	2176,000000	3395,000000	3066,000000	1219,000000	1.0.00
	-5,000000	-5,000000	1,000000	1,000000	8,800000	2176,000000	3371,000000	3066,000000	1195,000000	1.0.00
	-5,000000	-5,000000	1,000000	1,000000	8,000000	2176,000000	3358,000000	3066,000000	1182,000000	1.0.00
	-5,000000	-5,000000	1,000000	2,000000	24,000000	2167,000000	3389,000000	3064,000000	1222,000000	1.0.00
	-5,000000	-5,000000	1,000000	2,000000	8,800000	2167,000000	3360,000000	3063,000000	1193,000000	1.0.00
	-5,000000	-5,000000	1,000000	2,000000	8,000000	2167,000000	3346,000000	3063,000000	1179,000000	1.0.00
	-5,100000	-5,000000	1,000000	3,000000	24,000000	2173,000000	3401,000000	3065,000000	1228,000000	1.0.00
	-5,000000	-5,000000	1,000000	3,000000	8,800000	2173,000000	3371,000000	3065,000000	1198,000000	1.0.00
	-5,000000	-5,000000	1,000000	3,000000	8,000000	2173,000000	3357,000000	3065,000000	1184,000000	1.0.00
	-5,000000	-5,000000	1,000000	4,000000	24,000000	2183,000000	3405,000000	3073,000000	1222,000000	1.0.00
	-5,000000	-5,000000	1,000000	4,000000	8,800000	2183,000000	3374,000000	3073,000000	1192,000000	1.0.00
	-5,000000	-5,000000	1,000000	4,000000	8,000000	2183,000000	3361,000000	3073,000000	1178,000000	1.0.00
	-5,000000	-5,000000	1,000000	5,000000	24,000000	2175,000000	3411,000000	3071,000000	1236,000000	1.0.00
	-4,900000	-5,000000	1,000000	5,000000	8,800000	2175,000000	3402,000000	3071,000000	1227,000000	1.0.00
	-5,000000	-5,000000	1,000000	5,000000	8,000000	2175,000000	3397,000000	3071,000000	1222,000000	1.0.00
	0,000000	0,000000	1,000000	1,000000	24,000000	2163,000000	3384,000000	2858,000000	1222,000000	1.0.00
	0,000000	0,000000	1,000000	1,000000	8,800000	2163,000000	3358,000000	2858,000000	1195,000000	1.0.00
	0,000000	0,000000	1,000000	1,000000	8,000000	2163,000000	3347,000000	2858,000000	1184,000000	1.0.00
	-0,000000	0,000000	1,000000	2,000000	24,000000	2153,000000	3378,000000	2857,000000	1225,000000	1.0.00
