Unit:(mV)
                     CH1         CH2
Frequency    362.318 kHz           ?
Period          2.760 us           ?
00382              80.00       80.00
00383               0.00     -400.00
00384            3280.00     3440.00
00385            3280.00     3360.00
00386            3280.00       80.00
00387              80.00       80.00
00388              80.00       80.00
00389              80.00     3360.00
00390            3280.00     3360.00
00391            3280.00     3360.00
00392            3440.00      160.00
00393              80.00        0.00
00394              80.00        0.00
00395            -320.00     3200.00
00396            3280.00     3440.00
00397            3280.00     3360.00
00398              80.00        0.00
00399               0.00       80.00
00400               0.00      -80.00
00401            3280.00     3440.00
00402            3360.00     3360.00
00403            3600.00     3520.00
00404              80.00       80.00
00405               0.00        0.00
00406              80.00     3360.00
00407            3360.00     3360.00
00408            3280.00     3360.00
00409               0.00     3360.00
00410              80.00     3360.00
00411              80.00     3360.00
00412              80.00     3360.00
00413              80.00     3360.00
00414              80.00     3440.00
00415              80.00        0.00
00416              80.00       80.00
00417              80.00       80.00
00418            3280.00     3360.00
00419            3360.00     3360.00
00420            3200.00     3360.00
00421              80.00        0.00
00422              80.00       80.00
00423              80.00     3360.00
00424            3280.00     3360.00
00425            3280.00     3360.00
00426            3280.00       80.00
00427              80.00       80.00
00428              80.00       80.00
00429              80.00     3440.00
00430            3280.00     3360.00
00431            3360.00     3440.00
00432            3360.00      -80.00
00433              80.00       80.00
00434              80.00       80.00
00435            3280.00     3440.00
00436            3280.00     3360.00
00437            3280.00     3360.00
00438              80.00       80.00
00439              80.00       80.00
00440              80.00      -80.00
00441            3280.00     3360.00
00442              80.00     3360.00
00443              80.00     3360.00
00444              80.00     3360.00
00445              80.00     3360.00
00446              80.00     3280.00
00447            3280.00     3360.00
00448            3280.00        0.00
00449              80.00       80.00
00450              80.00       80.00
00451              80.00     3440.00
00452            3280.00     3360.00
00453            3280.00     3360.00
00454            3440.00     -160.00
00455              80.00       80.00
00456              80.00       80.00
00457            3280.00     3440.00
00458            3280.00     3360.00
00459            3280.00     3360.00
00460              80.00       80.00
00461              80.00       80.00
00462             -80.00      -80.00
00463            3280.00     3360.00
